"","STATE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"37","Oregon",2842337,2860375,2928507,2991755,3060367,3121264,3184369,3247111,3304310,3352449,3429708,3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3837491,3872036,3899001,3922468,3963244,4015792,4089976,4143625,4181886,4217737
"38","Pennsylvania",11882842,11903299,11982164,12049450,12119724,12166050,12198403,12220464,12227814,12245672,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12711160,12745815,12767118,12776309,12788313,12784826,12782275,12787641,12800922,12801989
"39","Rhode Island",1003464,1005995,1010649,1012581,1015112,1015960,1017002,1020893,1025353,1031155,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1053959,1053649,1054621,1055081,1055936,1056065,1056770,1055673,1058287,1059361
"40","South Carolina",3486310,3501155,3570404,3620464,3663314,3705397,3748582,3796200,3859696,3919235,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4635649,4671994,4717354,4764080,4823617,4891938,4957968,5021268,5084156,5148714
"41","South Dakota",696004,697101,703669,712801,722159,730790,737925,742213,744223,746058,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816166,823579,833566,842316,849129,853988,862996,872868,878698,884659
"42","Tennessee",4877203,4894492,4966587,5049742,5137584,5231438,5326936,5416643,5499233,5570045,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6355311,6399291,6453898,6494340,6541223,6591170,6646010,6708799,6771631,6829174
"43","Texas",16986335,17056755,17398005,17759738,18161612,18564062,18958751,19340342,19740317,20157531,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25241971,25645629,26084481,26480266,26964333,27470056,27914410,28295273,28628666,28995881
"44","Utah",1722850,1731223,1779780,1836799,1898404,1960446,2014177,2067976,2119784,2165960,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2775332,2814384,2853375,2897640,2936879,2981835,3041868,3101042,3153550,3205958
"45","Vermont",562758,564798,568606,572751,577748,583836,589002,593701,597239,600416,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,625879,627049,626090,626210,625214,625216,623657,624344,624358,623989
"46","Virginia",6189197,6216884,6301217,6414307,6509630,6593139,6670693,6750884,6829183,6900918,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8023699,8101155,8185080,8252427,8310993,8361808,8410106,8463587,8501286,8535519
"47","Washington",4866669,4903043,5025624,5160757,5278842,5375161,5481027,5569753,5674747,5769562,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6742830,6826627,6897058,6963985,7054655,7163657,7294771,7423362,7523869,7614893
"48","West Virginia",1793477,1792548,1798735,1806451,1817539,1820421,1823700,1822808,1819113,1815609,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854239,1856301,1856872,1853914,1849489,1842050,1831023,1817004,1804291,1792147
"49","Wisconsin",4891954,4904562,4964343,5025398,5084889,5133678,5184836,5229986,5266213,5297672,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5690475,5705288,5719960,5736754,5751525,5760940,5772628,5790186,5807406,5822434
"50","Wyoming",453589,453690,459260,466251,473081,480283,485160,488167,489451,490787,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,564487,567299,576305,582122,582531,585613,584215,578931,577601,578759
